time_s,T_fault_Nm,T_fault_over_T_nom_percent,omega_m_rad_per_s,abs_i_s_peak_A
1.280256051210242225e-03,-1.313865454566846154e+02,-1.004725772085528916e+02,1.231504320207198901e+02,6.704111293340761790e+01
1.320264052810562376e-03,-1.390458647751862600e+02,-1.063297336542014477e+02,1.231504320207198901e+02,7.055685681692820310e+01
1.360272054410882310e-03,-1.466547357230363673e+02,-1.121483117370677718e+02,1.231504320207198901e+02,7.408169811237839042e+01
1.400280056011202461e-03,-1.542117088905288256e+02,-1.179272030793640340e+02,1.231504320207198901e+02,7.761229546891873099e+01
1.440288057611522395e-03,-1.617153539386668797e+02,-1.236653138868604884e+02,1.231504320207198901e+02,8.114586440499503794e+01
1.480296059211842546e-03,-1.691642598110695701e+02,-1.293615651109324176e+02,1.231504320207198901e+02,8.468006328291727414e+01
1.520304060812162697e-03,-1.765570349405578554e+02,-1.350148926065385524e+02,1.231504320207198901e+02,8.821290566718315063e+01
1.560312062412482631e-03,-1.838923074504032229e+02,-1.406242472861178783e+02,1.231504320207198901e+02,9.174269236590578203e+01
1.600320064012802782e-03,-1.911687253502230703e+02,-1.461885952693926640e+02,1.231504320207198901e+02,9.526795828512329933e+01
1.640328065613122933e-03,-1.983849567265075393e+02,-1.517069180290663724e+02,1.231504320207198901e+02,9.878743052726109397e+01
1.680336067213442867e-03,-2.055396899277651244e+02,-1.571782125324060644e+02,1.231504320207198901e+02,1.022999950968314380e+02
1.720344068813763018e-03,-2.126316337442742110e+02,-1.626014913787004161e+02,1.231504320207198901e+02,1.058046702486540340e+02
1.760352070414083168e-03,-2.196595175824304249e+02,-1.679757829325846501e+02,1.231504320207198901e+02,1.093005850026434160e+02
1.800360072014403102e-03,-2.266220916336784512e+02,-1.733001314532245658e+02,1.231504320207198901e+02,1.127869617074441919e+02
1.840368073614723253e-03,-2.335181270380220440e+02,-1.785735972193538998e+02,1.231504320207198901e+02,1.162631017998706113e+02
1.880376075215043187e-03,-2.403464160421030726e+02,-1.837952566501593594e+02,1.231504320207198901e+02,1.197283741041937049e+02
1.920384076815363338e-03,-2.471057721518445760e+02,-1.889642024220078156e+02,1.231504320207198901e+02,1.231822051632133821e+02
1.960392078415683272e-03,-2.537950302796525079e+02,-1.940795435810132687e+02,1.231504320207198901e+02,1.266240712048595753e+02
2.000400080016003640e-03,-2.604130468861732766e+02,-1.991404056514401191e+02,1.231504320207198901e+02,1.300534914332052949e+02
2.040408081616323574e-03,-2.669587001166036657e+02,-2.041459307399404679e+02,1.231504320207198901e+02,1.334700223980573242e+02
2.080416083216643508e-03,-2.734308899315525991e+02,-2.090952776356258482e+02,1.231504320207198901e+02,1.368732532476874155e+02
